headline,stock,pos,neg,neutr,date
"California Crane School, Inc. Files Class Action Lawsuit in California Alleging Google Is Paying Apple to Stay Out of the Search Engine Business",Apple Inc.,0.014606567099690437,0.9197210073471069,0.065672367811203,2022-01-04
"Apple Inc., Q1 2022 Earnings Call, Jan 27, 2022",Apple Inc.,0.026671309024095535,0.05817693471908569,0.9151517748832703,2022-01-05
"Apple Inc., Annual General Meeting, Mar 04, 2022",Apple Inc.,0.022254645824432373,0.04340190440416336,0.9343433976173401,2022-01-06
Apple Inc. - Shareholder/Analyst Call,Apple Inc.,0.021739570423960686,0.02681157924234867,0.9514488577842712,2022-01-06
Apple Reportedly in Discussion to Carry Major League Baseball Games Next Season,Apple Inc.,0.05322615057229996,0.015816546976566315,0.9309573173522949,2022-01-10
"Apple Inc. Reports Earnings Results for the First Quarter Ended December 25, 2021",Apple Inc.,0.032103750854730606,0.19995254278182983,0.7679437398910522,2022-01-27
"Apple Inc., $ 0.22, Cash Dividend, Feb-04-2022",Apple Inc.,0.026888087391853333,0.025055862963199615,0.9480561017990112,2022-01-27
Nia Impact Capital Submits a Shareholder Proposal to Apple,Apple Inc.,0.03300200775265694,0.017100948840379715,0.9498969912528992,2022-02-01
Grand Circus Partners with Apple to Offer Introductory iOS App Development Courses to Michiganders Throughout 2022,Apple Inc.,0.4166349470615387,0.007562860380858183,0.575802206993103,2022-02-02
"Apple Inc. Declares Cash Dividend, Payable on February 10, 2022",Apple Inc.,0.03237111121416092,0.029886890202760696,0.9377420544624329,2022-01-27
Apple Inc. (NasdaqGS:AAPL) acquired AI Music Limited.,Apple Inc.,0.03250807896256447,0.022689346224069595,0.9448025226593018,2022-02-07
"Apple Inc. Presents at Mobile World Congress 2022, Feb-28-2022",Apple Inc.,0.029136866331100464,0.023206356912851334,0.9476568102836609,2022-02-08
Azzad Asset Submits a Shareholder Proposal to Apple,Apple Inc.,0.04247649013996124,0.013669374398887157,0.9438540935516357,2022-02-09
"Cambridge EnerTech, Inc., 39th Annual International Battery Seminar, Mar 28, 2022 through Mar 31, 2022",Apple Inc.,0.03395761549472809,0.025663170963525772,0.94037926197052,2022-02-22
"Apple Inc. Presents at 39th Annual International Battery Seminar, Mar-28-2022",Apple Inc.,0.038487281650304794,0.02384882979094982,0.9376638531684875,2022-02-22
SumOfUs Submits a Shareholder Proposal to Apple,Apple Inc.,0.05125752091407776,0.013559861108660698,0.9351826310157776,2022-02-01
Norway Oil Fund Announces to Vote Against Apple Pay Scheme,Apple Inc.,0.08328194916248322,0.6693632006645203,0.24735486507415771,2022-02-28
Arjuna Capital Submits a Shareholder Proposal to Apple,Apple Inc.,0.04641328006982803,0.0133309131488204,0.9402558207511902,2022-01-28
Apple Inc Declares Voting Results,Apple Inc.,0.040424369275569916,0.07526863366365433,0.8843070268630981,2022-03-04
Declaration of Voting Results by Apple Inc,Apple Inc.,0.027006490156054497,0.04403184354305267,0.9289617538452148,2022-03-04
Apple Announces the New Iphone Se: A Powerful Smartphone in an Iconic Design,Apple Inc.,0.5217916965484619,0.01292998343706131,0.465278297662735,2022-03-08
Apple Introduces New iPad Air with Apple-Designed M1 Chip,Apple Inc.,0.2847158908843994,0.012011606246232986,0.7032724618911743,2022-03-08
Declaration of Voting Results by Apple Inc,Apple Inc.,0.027006490156054497,0.04403184354305267,0.9289617538452148,2022-03-04
